GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US89010,89010,ZCTA5 89010,458,109
8600000US89019,89019,ZCTA5 89019,1762,575
8600000US89046,89046,ZCTA5 89046,398,154
8600000US89060,89060,ZCTA5 89060,9411,1042
8600000US89061,89061,ZCTA5 89061,5485,635
8600000US89439,89439,ZCTA5 89439,1484,224
8600000US90001,90001,ZCTA5 90001,57942,1837
8600000US90002,90002,ZCTA5 90002,51826,1952
8600000US90003,90003,ZCTA5 90003,70208,1918
8600000US90004,90004,ZCTA5 90004,63095,1723
8600000US90005,90005,ZCTA5 90005,39338,1248
8600000US90006,90006,ZCTA5 90006,61230,1572
8600000US90007,90007,ZCTA5 90007,41979,1410
8600000US90008,90008,ZCTA5 90008,32060,1361
8600000US90010,90010,ZCTA5 90010,3524,383
8600000US90011,90011,ZCTA5 90011,104762,2289
8600000US90012,90012,ZCTA5 90012,32543,1082
8600000US90013,90013,ZCTA5 90013,11668,1007
8600000US90014,90014,ZCTA5 90014,7191,559
8600000US90015,90015,ZCTA5 90015,19378,1004
8600000US90016,90016,ZCTA5 90016,47079,1382
8600000US90017,90017,ZCTA5 90017,25772,861
8600000US90018,90018,ZCTA5 90018,51639,1306
8600000US90019,90019,ZCTA5 90019,68530,1788
8600000US90020,90020,ZCTA5 90020,40170,1290
8600000US90021,90021,ZCTA5 90021,2954,357
8600000US90022,90022,ZCTA5 90022,67191,1813
8600000US90023,90023,ZCTA5 90023,46611,1586
8600000US90024,90024,ZCTA5 90024,49737,1377
8600000US90025,90025,ZCTA5 90025,46520,1443
8600000US90026,90026,ZCTA5 90026,67557,1663
8600000US90027,90027,ZCTA5 90027,46043,1278
8600000US90028,90028,ZCTA5 90028,31122,1370
8600000US90029,90029,ZCTA5 90029,40242,1186
8600000US90031,90031,ZCTA5 90031,38940,1468
8600000US90032,90032,ZCTA5 90032,47285,1427
8600000US90033,90033,ZCTA5 90033,49156,1465
8600000US90034,90034,ZCTA5 90034,57443,1334
8600000US90035,90035,ZCTA5 90035,30582,1118
8600000US90036,90036,ZCTA5 90036,37931,1245
8600000US90037,90037,ZCTA5 90037,61451,1874
8600000US90038,90038,ZCTA5 90038,28155,1140
8600000US90039,90039,ZCTA5 90039,28436,1167
8600000US90040,90040,ZCTA5 90040,12812,500
8600000US90041,90041,ZCTA5 90041,28405,1051
8600000US90042,90042,ZCTA5 90042,63109,1686
