GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
8600000US89010,89010,ZCTA5 89010,203,48,42250,16704,91.1,7.7,41250,17486,0.0,13.7,-,**,3.4,5.1,-,**,0.0,13.7,-,**,0.0,13.7,-,**,3.4,5.4,-,**,2.0,3.1,-,**,18.7,12.6,33000,22985,75.9,13.2,45000,11705,3.4,5.1,-,**,24.1,12.2,33250,16798,35.0,13.1,54107,10507,37.4,13.0,31500,12095,113,36,44750,22832,29.2,17.7,34750,26882,70.8,17.7,54063,18328,82.3,12.2,58250,52853,7.1,6.6,-,**,10.6,11.2,-,**,90,40,31667,25821,47.8,25.6,46339,11410,47.8,25.6,46339,11410,0.0,27.7,-,**,52.2,25.6,30417,2651,41.1,24.7,29432,13413,11.1,15.6,-,**,30.5,(X),(X),(X),35.4,(X),(X),(X),24.4,(X),(X),(X)
8600000US89019,89019,ZCTA5 89019,837,249,37344,15580,90.7,4.4,40547,15761,3.2,2.9,-,**,0.4,0.6,-,**,5.7,3.1,45000,38056,0.0,3.5,-,**,0.0,3.5,-,**,0.0,3.5,-,**,11.2,6.2,22857,7020,79.8,7.4,47750,17607,2.0,2.4,-,**,13.4,7.6,25125,13238,39.2,15.6,51346,17168,45.4,15.9,37095,23400,473,206,56544,23845,23.5,18.4,-,**,76.5,18.4,60192,30352,75.3,15.6,77724,40516,19.2,15.2,47531,43251,5.5,6.5,-,**,364,134,23438,6680,55.8,18.5,24303,17955,44.0,20.0,-,**,11.8,16.9,-,**,44.2,18.5,18413,10824,39.6,17.7,18654,12128,4.7,5.4,-,**,37.3,(X),(X),(X),40.0,(X),(X),(X),31.3,(X),(X),(X)
8600000US89046,89046,ZCTA5 89046,206,54,28889,6562,100.0,15.6,28889,6562,0.0,15.6,-,**,0.0,15.6,-,**,0.0,15.6,-,**,0.0,15.6,-,**,0.0,15.6,-,**,0.0,15.6,-,**,5.8,5.1,-,**,94.2,5.1,29167,9320,0.0,15.6,-,**,15.0,11.2,35469,21423,27.7,15.8,-,**,57.3,16.1,25625,6951,84,40,39643,26338,16.7,18.1,-,**,83.3,18.1,51667,20437,66.7,24.0,39643,34613,16.7,18.9,-,**,16.7,18.1,-,**,122,48,24000,10041,38.5,22.1,25156,17800,38.5,22.1,25156,17800,0.0,24.6,-,**,61.5,22.1,23194,19317,47.5,22.9,-,**,13.9,15.4,-,**,50.5,(X),(X),(X),60.7,(X),(X),(X),43.4,(X),(X),(X)
8600000US89060,89060,ZCTA5 89060,3772,337,36617,6783,84.8,4.4,36672,7467,5.7,2.9,37325,13329,0.0,0.8,-,**,0.5,0.6,-,**,1.7,2.4,-,**,5.0,3.0,-,**,2.3,2.2,40636,13470,13.2,4.1,-,**,76.6,4.8,37123,6999,0.3,0.5,-,**,18.5,4.8,-,**,39.0,5.1,37347,10999,42.3,5.9,36607,6186,2294,349,49069,9090,28.9,7.0,23061,20516,71.1,7.0,58988,8687,78.4,7.3,54940,13756,18.3,6.9,23980,17270,3.3,2.1,-,**,1478,252,24801,5756,59.1,8.2,22557,5718,43.8,8.5,22154,3925,15.4,6.9,42519,41792,40.9,8.2,31554,8990,34.6,8.6,24432,11649,6.2,4.6,-,**,41.9,(X),(X),(X),46.3,(X),(X),(X),34.2,(X),(X),(X)
8600000US89061,89061,ZCTA5 89061,2245,215,57480,8093,85.6,7.1,61446,10039,1.9,2.3,-,**,1.6,2.5,-,**,4.8,4.5,-,**,0.0,1.3,-,**,2.4,3.0,-,**,3.8,4.2,-,**,9.5,4.7,42169,12324,78.4,7.3,66652,11561,0.0,1.3,-,**,17.0,5.3,92684,46465,37.3,6.1,67647,15847,45.7,6.5,47321,8930,1583,239,70396,10778,17.6,5.4,53203,14605,82.4,5.4,72753,8122,90.0,6.8,70364,7467,9.0,6.6,-,**,0.9,1.6,-,**,662,182,27679,6417,59.5,14.7,27165,7722,49.4,15.4,27198,8111,10.1,9.3,27094,22906,40.5,14.7,29583,22877,38.4,14.5,28854,28680,2.1,3.3,-,**,36.3,(X),(X),(X),40.6,(X),(X),(X),26.3,(X),(X),(X)
8600000US89439,89439,ZCTA5 89439,648,75,61071,25188,97.4,4.3,60060,27051,0.0,4.5,-,**,0.0,4.5,-,**,0.0,4.5,-,**,0.0,4.5,-,**,2.6,4.3,-,**,0.0,4.5,-,**,7.6,6.4,-,**,92.4,6.4,61964,20679,1.7,2.7,-,**,20.7,9.1,66083,26863,54.8,11.3,62440,37212,22.8,9.1,34375,23574,421,77,95250,55849,31.1,13.3,66729,35452,68.9,13.3,100147,37692,79.1,12.1,102279,20910,11.2,9.5,-,**,9.7,9.1,36477,26286,227,83,32107,4308,55.9,21.1,32266,4662,48.9,21.3,31016,4316,7.0,10.3,-,**,44.1,21.1,-,**,21.6,18.7,-,**,22.5,18.1,51083,37202,36.4,(X),(X),(X),33.3,(X),(X),(X),42.3,(X),(X),(X)
8600000US90001,90001,ZCTA5 90001,13594,252,34323,1369,34.2,2.1,36297,1573,14.3,1.4,23942,2359,0.5,0.3,54659,19981,0.2,0.2,9615,6906,0.0,0.2,-,**,49.7,2.4,35011,1750,1.1,0.5,33958,30257,84.1,1.5,35646,1126,0.8,0.3,34306,19523,3.7,0.8,24495,7528,41.7,2.2,32269,1886,40.4,2.3,39668,3256,14.3,1.6,25827,3742,11381,345,34504,1585,56.5,2.4,28776,2416,43.5,2.4,41996,2381,53.8,2.3,43004,2314,31.9,2.6,25286,3834,14.3,1.8,26750,5622,2213,252,20049,1778,54.0,5.8,14291,3514,43.1,5.5,11598,1624,10.9,3.3,33704,4023,46.0,5.8,23370,1545,35.1,5.7,21846,1645,10.9,3.6,39402,10213,41.5,(X),(X),(X),40.2,(X),(X),(X),36.9,(X),(X),(X)
8600000US90002,90002,ZCTA5 90002,12543,251,32520,2461,30.9,2.4,36335,2776,32.9,2.2,26681,2719,0.9,0.5,-,**,0.8,0.4,21204,5129,0.3,0.3,-,**,33.5,2.7,36113,2855,0.8,0.3,-,**,64.9,2.1,36410,1884,1.0,0.5,21481,18530,3.1,1.1,23164,11965,39.9,2.4,31047,4814,41.8,2.3,37528,2293,15.2,1.6,26829,3144,10173,270,35185,2407,57.4,2.7,27661,3249,42.6,2.7,41567,2365,47.8,3.0,42606,3331,39.2,2.8,23876,2410,13.0,2.0,33951,4448,2370,255,17467,3842,50.8,6.8,15424,2779,46.5,6.8,15062,3269,4.2,2.3,18676,6192,49.2,6.8,21788,7636,38.4,6.2,16932,7663,10.8,4.0,34952,9390,44.7,(X),(X),(X),43.5,(X),(X),(X),43.9,(X),(X),(X)
8600000US90003,90003,ZCTA5 90003,16496,349,31878,1140,21.4,1.7,40764,2398,34.6,1.6,21090,1574,1.0,0.4,52417,10189,0.2,0.2,-,**,0.1,0.1,-,**,41.4,1.9,35977,1272,1.2,0.4,40833,3622,64.4,1.5,37641,1534,0.8,0.4,26763,16025,3.4,0.7,20227,6893,42.5,2.1,30568,1579,41.4,2.2,37006,1995,12.7,1.2,24746,4219,13426,400,32011,1123,59.7,2.0,27659,1876,40.3,2.0,40347,2222,46.1,2.4,39859,1972,36.8,2.3,22015,1672,17.0,1.9,30347,2877,3070,257,17796,1625,49.3,5.2,14595,2464,44.2,5.0,12983,2119,5.1,2.4,40046,13848,50.7,5.2,20000,5686,37.4,5.4,17188,2650,13.3,3.8,33179,9948,40.9,(X),(X),(X),39.0,(X),(X),(X),33.6,(X),(X),(X)
