License Number,License Designation,Business Name,DBA,Record Status,Expiration Date,Business Organization Structure,Business Phone,City,Lat,Lng
M10-18-0000376-TEMP,Medicinal,"San Diegrown, Inc.",The Grove,Active,8/8/2018,Corporation,6193426500,La Mesa,32.7703,-117.0203
A10-18-0000342-TEMP,Adult-Use Medicinal,Alternative Health Sunrise,Goldn Bloom,Active,11/24/2018,Corporation,6199714355,San Diego,32.8312,-117.1225
A10-18-0000125-TEMP,Adult-Use Medicinal,Loud Inc.,San Diego Recreational Cannabis (SDRC),Active,11/1/2018,Corporation,6196188139,San Diego,32.8312,-117.1225
A10-18-0000113-TEMP,Adult-Use Medicinal,Balboa Avenue Cooperative,,Active,10/30/2018,Corporation,6197502024,San Diego,32.8312,-117.1225
A10-18-0000108-TEMP,Adult-Use Medicinal,"UPROOTED, INC.",Southwest Patient Group,Active,10/29/2018,Corporation,6196636337,San Diego,32.8312,-117.1225
A10-17-0000032-TEMP,Adult-Use Medicinal,"GSG PL, INC.",,Active,10/28/2018,Corporation,6192688035,San Diego,32.8312,-117.1225
A10-17-0000008-TEMP,Adult-Use Medicinal,Urbn Leaf Bay Park Inc.,Urbn Leaf,Active,10/28/2018,Corporation,6192752235,San Diego,32.8312,-117.1225
A10-17-0000049-TEMP,Adult-Use Medicinal,ECSD MANAGEMENT LLC,,Active,10/28/2018,Limited Liability Company,6197724141,San Diego,32.8312,-117.1225
A10-17-0000011-TEMP,Adult-Use Medicinal,"A Green Alternative Cooperative, Inc.",,Active,10/28/2018,Corporation,6192419897,San Diego,32.8312,-117.1225
A10-17-0000038-TEMP,Adult-Use Medicinal,"MMOF San Diego Retail, Inc.",Apothekare,Active,10/28/2018,Corporation,6198509266,San Diego,32.8312,-117.1225
A10-17-0000001-TEMP,Adult-Use Medicinal,"Torrey Holistics, Inc.",Torrey Holistics,Active,10/28/2018,Corporation,8585581420,San Diego,32.8312,-117.1225
A10-18-0000365-TEMP,Adult-Use Medicinal,"VALLEY GREENS RETAIL OULET, LP",March and Ash,Active,9/29/2018,Limited Partnership,6192554661,San Diego,32.8312,-117.1225
A10-18-0000346-TEMP,Adult-Use Medicinal,"NS Harbor, Inc.",,Active,8/29/2018,Corporation,6194568928,San Diego,32.8312,-117.1225
A10-18-0000340-TEMP,Adult-Use Medicinal,Miramar Professional Services,Mankind Cooperative,Active,8/24/2018,Corporation,8582470953,San Diego,32.8312,-117.1225
A10-18-0000339-TEMP,Adult-Use Medicinal,The Healing Center of San Diego,THCSD,Active,8/23/2018,Corporation,2408331392,San Diego,32.8312,-117.1225
A10-18-0000329-TEMP,Adult-Use Medicinal,Sustainable Therapeutics Cooperative,Urbn Leaf,Active,8/11/2018,Corporation,6196880888,San Diego,32.8312,-117.1225
M10-18-0000350-TEMP,Medicinal,Olive Tree Patients Association,"Olive Tree Patients Association, Olive Tree Wellness Center",Active,10/10/2018,Corporation,6192065472,Ramona,33.0474,-116.8767
M10-18-0000331-TEMP,Medicinal,"SAN DIEGO NATURAL, INC.",,Active,10/4/2018,Corporation,6094624234,Escondido,33.1349,-117.0721
C10-18-0000018-TEMP,Adult-Use Medicinal,HAH 1 LLC,Have a Heart CC,Active,11/8/2018,Limited Liability Company,2068890583,Blythe,33.6219,-114.6177
A10-18-0000324-TEMP,Adult-Use Medicinal,"The Coachella Lighthouse, LLC",,Active,10/31/2018,Limited Liability Company,9016493568,Coachella,33.691,-116.1451
A10-18-0000110-TEMP,Adult-Use Medicinal,"Halladay Healing Group, Inc.",Super Clinik,Active,10/30/2018,Corporation,7147171480,Santa Ana,33.7366,-117.8819
A10-18-0000105-TEMP,Adult-Use Medicinal,"STPC ENTERPRISES, INC.",Evergreen,Active,10/29/2018,Corporation,7148011356,Santa Ana,33.7366,-117.8819
A10-18-0000109-TEMP,Adult-Use Medicinal,OGC Systems Inc,New Generation,Active,10/29/2018,Corporation,9518182245,Santa Ana,33.7366,-117.8819
A10-17-0000088-TEMP,Adult-Use Medicinal,"HnHPC, a nonprofit mutual benefit corp",Connected Santa Ana,Active,10/28/2018,Corporation,6572294464,Santa Ana,33.7366,-117.8819
A10-17-0000061-TEMP,Adult-Use Medicinal,SOAR Collective Mutual Benefit Corporation,OC3,Active,10/28/2018,Corporation,7146428320,Santa Ana,33.7366,-117.8819
A10-17-0000059-TEMP,Adult-Use Medicinal,Peoples' First Choice LLC,,Active,10/28/2018,Limited Liability Company,7144857379,Santa Ana,33.7366,-117.8819
A10-17-0000055-TEMP,Adult-Use Medicinal,Healthy Healing Holistic Options,ShowGrow,Active,10/28/2018,Corporation,9495654769,Santa Ana,33.7366,-117.8819
A10-17-0000068-TEMP,Adult-Use Medicinal,The Source Santa Ana,MedMen OC,Active,10/28/2018,Corporation,3234862787,Santa Ana,33.7366,-117.8819
A10-17-0000082-TEMP,Adult-Use Medicinal,"SCSA GROUP, INC.",,Active,10/28/2018,Corporation,7146865001,Santa Ana,33.7366,-117.8819
A10-18-0000098-TEMP,Adult-Use Medicinal,2015 Halladay Wellness Inc.,Super Clinik Yale,Active,10/28/2018,Corporation,7147179896,Santa Ana,33.7366,-117.8819
A10-18-0000097-TEMP,Adult-Use Medicinal,"420 Green Street, Inc.",10 Spot,Active,10/28/2018,Corporation,7147179896,Santa Ana,33.7366,-117.8819
A10-17-0000069-TEMP,Adult-Use Medicinal,CBD Inc,From The Earth,Active,10/28/2018,Corporation,9497849032,Santa Ana,33.7366,-117.8819
A10-17-0000064-TEMP,Adult-Use Medicinal,"55 OC Collective, Inc.",Blum Santa Ana,Active,10/28/2018,Corporation,7074776790,Santa Ana,33.7366,-117.8819
A10-18-0000099-TEMP,Adult-Use Medicinal,BUD AND BLOOM,,Active,10/28/2018,Corporation,7145762150,Santa Ana,33.7366,-117.8819
A10-17-0000060-TEMP,Adult-Use Medicinal,"Therapeutic Hemp, Inc.",420 Central,Active,10/28/2018,Corporation,9494342125,Santa Ana,33.7366,-117.8819
A10-17-0000087-TEMP,Adult-Use Medicinal,Monex Place Wellness,Strain Station,Active,10/28/2018,Corporation,9492932370,Santa Ana,33.7366,-117.8819
A10-17-0000083-TEMP,Adult-Use Medicinal,Green Rose Green Leaf Care,The Joint,Active,10/28/2018,Corporation,7147674806,Santa Ana,33.7366,-117.8819
A10-18-0000220-TEMP,Adult-Use Medicinal,"Jason Lilly, LLC",Kannabis Works,Active,9/3/2018,Limited Liability Company,9497420768,Santa Ana,33.7366,-117.8819
C10-18-0000028-TEMP,Adult-Use Medicinal,EARTH ESSENTIALS,Royal Highness,Active,11/29/2018,Limited Liability Company,4422820656,Palm Desert,33.7378,-116.3696
M10-18-0000228-TEMP,Medicinal,"PF JOHNS, LLC",,Active,11/22/2018,Limited Liability Company,3108834941,Perris,33.7897,-117.2233
