Zip,CA DOI Underserved Flag
90001,Y
90002,Y
90003,Y
90004,Y
90005,Y
90006,Y
90007,Y
90010,Y
90011,Y
90012,Y
90013,Y
90014,Y
90015,Y
90016,Y
90017,Y
90018,Y
90019,Y
90020,Y
90021,Y
90022,Y
90023,Y
90026,Y
90029,Y
90031,Y
90032,Y
90033,Y
90037,Y
90038,Y
90040,Y
90043,Y
90044,Y
90047,Y
90057,Y
90058,Y
90059,Y
90061,Y
90062,Y
90063,Y
90065,Y
90201,Y
90220,Y
90221,Y
90222,Y
90247,Y
90255,Y
90262,Y
90270,Y
90280,Y
90301,Y
90302,Y
90303,Y
90304,Y
90501,Y
90716,Y
90723,Y
90744,Y
90806,Y
90810,Y
90813,Y
91204,Y
91303,Y
91331,Y
91340,Y
91343,Y
91352,Y
91402,Y
91405,Y
91406,Y
91601,Y
91605,Y
91606,Y
91731,Y
91733,Y
91746,Y
91761,Y
91766,Y
92102,Y
92113,Y
92173,Y
92231,Y
92236,Y
92249,Y
92254,Y
92259,Y
92273,Y
92335,Y
92337,Y
92401,Y
92408,Y
92410,Y
92411,Y
92701,Y
92703,Y
92704,Y
92707,Y
92801,Y
92805,Y
93036,Y
93219,Y
93227,Y
93234,Y
93239,Y
93241,Y
93256,Y
93261,Y
93266,Y
93272,Y
93458,Y
93608,Y
93624,Y
93640,Y
93646,Y
93648,Y
93660,Y
93701,Y
93702,Y
93703,Y
93706,Y
93721,Y
93725,Y
93925,Y
94063,Y
94124,Y
94601,Y
94603,Y
94606,Y
94607,Y
94612,Y
94621,Y
94710,Y
94801,Y
95019,Y
95110,Y
95111,Y
95112,Y
95116,Y
95122,Y
95202,Y
95205,Y
95231,Y
95351,Y
95365,Y
95387,Y
95824,Y
95838,Y
