ZIP Code,NAME,Dominant Tapestry Segment Number per Zip,Dominant Tapestry Segment Code per Zip,Dominant Tapestry Segment Name per Zip,Dominant Lifemode Code,Dominant Lifemode Group Name
90001,Los Angeles,61,13B,Las Casas,13,Next Wave
90002,Los Angeles,61,13B,Las Casas,13,Next Wave
90003,Los Angeles,61,13B,Las Casas,13,Next Wave
90004,Los Angeles,60,13A,International Marketplace,13,Next Wave
90005,Los Angeles,62,13C,NeWest Residents,13,Next Wave
90006,Los Angeles,60,13A,International Marketplace,13,Next Wave
90007,Los Angeles,67,14C,Dorms to Diplomas,13,Next Wave
90008,Los Angeles,51,11A,City Strivers,13,Next Wave
90010,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90011,Los Angeles,61,13B,Las Casas,13,Next Wave
90012,Los Angeles,11,3B,Metro Renters,3,Uptown Individuals
90013,Los Angeles,45,9F,Social Security Set,9,Senior Styles
90014,Los Angeles,45,9F,Social Security Set,9,Senior Styles
90015,Los Angeles,62,13C,NeWest Residents,13,Next Wave
90016,Los Angeles,60,13A,International Marketplace,13,Next Wave
90017,Los Angeles,62,13C,NeWest Residents,13,Next Wave
90018,Los Angeles,60,13A,International Marketplace,13,Next Wave
90019,Los Angeles,60,13A,International Marketplace,13,Next Wave
90020,Los Angeles,12,3C,Trendsetters,13,Next Wave
90021,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90022,Los Angeles,61,13B,Las Casas,13,Next Wave
90023,Los Angeles,61,13B,Las Casas,13,Next Wave
90024,Los Angeles,67,14C,Dorms to Diplomas,14,Scholars and Patriots
90025,Los Angeles,11,3B,Metro Renters,3,Uptown Individuals
90026,Los Angeles,60,13A,International Marketplace,13,Next Wave
90027,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90028,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90029,Los Angeles,60,13A,International Marketplace,13,Next Wave
90031,Los Angeles,61,13B,Las Casas,13,Next Wave
90032,Los Angeles,61,13B,Las Casas,7,Ethnic Enclaves
90033,Los Angeles,61,13B,Las Casas,13,Next Wave
90034,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90035,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90036,Los Angeles,11,3B,Metro Renters,3,Uptown Individuals
90037,Los Angeles,61,13B,Las Casas,13,Next Wave
90038,Los Angeles,60,13A,International Marketplace,13,Next Wave
90039,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90040,Los Angeles,61,13B,Las Casas,13,Next Wave
90041,Los Angeles,33,8A,City Lights,8,Middle Ground
90042,Los Angeles,60,13A,International Marketplace,13,Next Wave
90043,Los Angeles,56,12A,Family Foundations,12,Hometown
90044,Los Angeles,61,13B,Las Casas,13,Next Wave
90045,Los Angeles,6,2A,Urban Chic,2,Upscale Avenues
90046,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90047,Los Angeles,56,12A,Family Foundations,12,Hometown
90048,Los Angeles,10,3A,Laptops and Lattes,3,Uptown Individuals
90049,Los Angeles,1,1A,Top Tier,1,Affluent Estates
90056,Los Angeles,5,1E,Exurbanites,1,Affluent Estates
90057,Los Angeles,62,13C,NeWest Residents,13,Next Wave
90058,Los Angeles,61,13B,Las Casas,13,Next Wave
90059,Los Angeles,61,13B,Las Casas,13,Next Wave
90061,Los Angeles,61,13B,Las Casas,13,Next Wave
90062,Los Angeles,51,11A,City Strivers,13,Next Wave
90063,Los Angeles,61,13B,Las Casas,13,Next Wave
90064,Los Angeles,6,2A,Urban Chic,2,Upscale Avenues
90065,Los Angeles,33,8A,City Lights,13,Next Wave
90066,Los Angeles,12,3C,Trendsetters,3,Uptown Individuals
90067,Los Angeles,41,9B,Golden Years,9,Senior Styles
90068,Los Angeles,10,3A,Laptops and Lattes,3,Uptown Individuals
90069,West Hollywood,12,3C,Trendsetters,3,Uptown Individuals
90071,Los Angeles,68,15,Unclassified,#N/A,#N/A
90077,Los Angeles,1,1A,Top Tier,1,Affluent Estates
90089,Los Angeles,67,14C,Dorms to Diplomas,14,Scholars and Patriots
90094,Playa Vista,10,3A,Laptops and Lattes,3,Uptown Individuals
90201,Bell Gardens,61,13B,Las Casas,13,Next Wave
90210,Beverly Hills,1,1A,Top Tier,1,Affluent Estates
90211,Beverly Hills,33,8A,City Lights,8,Middle Ground
90212,Beverly Hills,6,2A,Urban Chic,2,Upscale Avenues
90220,Compton,61,13B,Las Casas,13,Next Wave
90221,Compton,61,13B,Las Casas,13,Next Wave
90222,Compton,61,13B,Las Casas,13,Next Wave
90230,Culver City,33,8A,City Lights,2,Upscale Avenues
90232,Culver City,12,3C,Trendsetters,3,Uptown Individuals
90240,Downey,28,7B,Urban Villages,7,Ethnic Enclaves
90241,Downey,28,7B,Urban Villages,7,Ethnic Enclaves
90242,Downey,28,7B,Urban Villages,7,Ethnic Enclaves
90245,El Segundo,6,2A,Urban Chic,2,Upscale Avenues
90247,Gardena,60,13A,International Marketplace,13,Next Wave
90248,Gardena,28,7B,Urban Villages,5,GenXurban
90249,Gardena,56,12A,Family Foundations,2,Upscale Avenues
90250,Hawthorne,60,13A,International Marketplace,13,Next Wave
90254,Hermosa Beach,10,3A,Laptops and Lattes,3,Uptown Individuals
90255,Huntington Park,61,13B,Las Casas,13,Next Wave
