xYear,xMonth,State,County,Age_Group,rundatetime,PatCount_Opioid,Population
2018,1,CA,Alameda,15-24 yrs,01JUL2018:03:52:53,1619,"1,515,717"
2018,1,CA,Alpine,15-24 yrs,01JUL2018:03:52:53,4,"1,115"
2018,1,CA,Amador,15-24 yrs,01JUL2018:03:52:53,52,"38,211"
2018,1,CA,Butte,15-24 yrs,01JUL2018:03:52:53,411,"220,287"
2018,1,CA,Calaveras,15-24 yrs,01JUL2018:03:52:53,60,"45,570"
2018,1,CA,Colusa,15-24 yrs,01JUL2018:03:52:53,31,"21,608"
2018,1,CA,Contra Costa,15-24 yrs,01JUL2018:03:52:53,1470,"1,043,451"
2018,1,CA,Del Norte,15-24 yrs,01JUL2018:03:52:53,35,"28,596"
2018,1,CA,El Dorado,15-24 yrs,01JUL2018:03:52:53,320,"180,987"
2018,1,CA,Fresno,15-24 yrs,01JUL2018:03:52:53,1601,"935,100"
2018,1,CA,Glenn,15-24 yrs,01JUL2018:03:52:53,41,"28,708"
2018,1,CA,Humboldt,15-24 yrs,01JUL2018:03:52:53,211,"134,681"
2018,1,CA,Imperial,15-24 yrs,01JUL2018:03:52:53,275,"170,552"
2018,1,CA,Inyo,15-24 yrs,01JUL2018:03:52:53,19,"19,497"
2018,1,CA,Kern,15-24 yrs,01JUL2018:03:52:53,1551,"841,588"
2018,1,CA,Kings,15-24 yrs,01JUL2018:03:52:53,251,"151,702"
2018,1,CA,Lake,15-24 yrs,01JUL2018:03:52:53,104,"64,599"
2018,1,CA,Lassen,15-24 yrs,01JUL2018:03:52:53,36,"37,144"
2018,1,CA,Los Angeles,15-24 yrs,01JUL2018:03:52:53,10578,"9,811,939"
2018,1,CA,Madera,15-24 yrs,01JUL2018:03:52:53,234,"150,446"
2018,1,CA,Marin,15-24 yrs,01JUL2018:03:52:53,301,"251,685"
2018,1,CA,Mariposa,15-24 yrs,01JUL2018:03:52:53,16,"16,900"
2018,1,CA,Mendocino,15-24 yrs,01JUL2018:03:52:53,130,"87,595"
2018,1,CA,Merced,15-24 yrs,01JUL2018:03:52:53,453,"254,483"
2018,1,CA,Modoc,15-24 yrs,01JUL2018:03:52:53,12,"8,506"
2018,1,CA,Mono,15-24 yrs,01JUL2018:03:52:53,16,"12,975"
2018,1,CA,Monterey,15-24 yrs,01JUL2018:03:52:53,535,"402,842"
2018,1,CA,Napa,15-24 yrs,01JUL2018:03:52:53,189,"137,050"
2018,1,CA,Nevada,15-24 yrs,01JUL2018:03:52:53,102,"95,997"
2018,1,CA,Orange,15-24 yrs,01JUL2018:03:52:53,3911,"3,016,237"
2018,1,CA,Placer,15-24 yrs,01JUL2018:03:52:53,595,"351,384"
