xYear,State,County,Age_Group,rundatetime,PatCount_Opioid,Population,,
2015,CA,Alameda,15-24 yrs,01APR2018:11:21:17,24853,"1,515,717",,
2015,CA,Alpine,15-24 yrs,01APR2018:11:21:17,16,"1,115",,
2015,CA,Amador,15-24 yrs,01APR2018:11:21:17,726,"38,211",,
2015,CA,Butte,15-24 yrs,01APR2018:11:21:17,5971,"220,287",,
2015,CA,Calaveras,15-24 yrs,01APR2018:11:21:17,921,"45,570",,
2015,CA,Colusa,15-24 yrs,01APR2018:11:21:17,518,"21,608",,
2015,CA,Contra Costa,15-24 yrs,01APR2018:11:21:17,20480,"1,043,451",,
2015,CA,Del Norte,15-24 yrs,01APR2018:11:21:17,604,"28,596",,
2015,CA,El Dorado,15-24 yrs,01APR2018:11:21:17,4168,"180,987",,
2015,CA,Fresno,15-24 yrs,01APR2018:11:21:17,21069,"935,100",,
2015,CA,Glenn,15-24 yrs,01APR2018:11:21:17,661,"28,708",,
2015,CA,Humboldt,15-24 yrs,01APR2018:11:21:17,3132,"134,681",,
2015,CA,Imperial,15-24 yrs,01APR2018:11:21:17,3258,"170,552",,
2015,CA,Inyo,15-24 yrs,01APR2018:11:21:17,305,"19,497",,
2015,CA,Kern,15-24 yrs,01APR2018:11:21:17,20087,"841,588",,
2015,CA,Kings,15-24 yrs,01APR2018:11:21:17,3126,"151,702",,
2015,CA,Lake,15-24 yrs,01APR2018:11:21:17,1847,"64,599",,
2015,CA,Lassen,15-24 yrs,01APR2018:11:21:17,774,"37,144",,
2015,CA,Los Angeles,15-24 yrs,01APR2018:11:21:17,137588,"9,811,939",,
2015,CA,Madera,15-24 yrs,01APR2018:11:21:17,3272,"150,446",,
2015,CA,Marin,15-24 yrs,01APR2018:11:21:17,3765,"251,685",,
2015,CA,Mariposa,15-24 yrs,01APR2018:11:21:17,294,"16,900",,
2015,CA,Mendocino,15-24 yrs,01APR2018:11:21:17,2247,"87,595",,
2015,CA,Merced,15-24 yrs,01APR2018:11:21:17,6429,"254,483",,
2015,CA,Modoc,15-24 yrs,01APR2018:11:21:17,110,"8,506",,
2015,CA,Mono,15-24 yrs,01APR2018:11:21:17,324,"12,975",,
2015,CA,Monterey,15-24 yrs,01APR2018:11:21:17,7859,"402,842",,
2015,CA,Napa,15-24 yrs,01APR2018:11:21:17,2623,"137,050",,
2015,CA,Nevada,15-24 yrs,01APR2018:11:21:17,1579,"95,997",,
2015,CA,Orange,15-24 yrs,01APR2018:11:21:17,50036,"3,016,237",,
2015,CA,Placer,15-24 yrs,01APR2018:11:21:17,7439,"351,384",,
2015,CA,Plumas,15-24 yrs,01APR2018:11:21:17,333,"18,613",,
2015,CA,Riverside,15-24 yrs,01APR2018:11:21:17,44112,"2,191,564",,
2015,CA,Sacramento,15-24 yrs,01APR2018:11:21:17,31404,"1,420,705",,
2015,CA,San Benito,15-24 yrs,01APR2018:11:21:17,1425,"53,857",,
2015,CA,San Bernardino,15-24 yrs,01APR2018:11:21:17,44115,"2,032,042",,
2015,CA,San Diego,15-24 yrs,01APR2018:11:21:17,53547,"3,091,958",,
2015,CA,San Francisco,15-24 yrs,01APR2018:11:21:17,8929,"805,232",,
2015,CA,San Joaquin,15-24 yrs,01APR2018:11:21:17,17163,"684,518",,
2015,CA,San Luis Obispo,15-24 yrs,01APR2018:11:21:17,5184,"269,227",,
2015,CA,San Mateo,15-24 yrs,01APR2018:11:21:17,9826,"690,399",,
2015,CA,Santa Barbara,15-24 yrs,01APR2018:11:21:17,8453,"424,106",,
2015,CA,Santa Clara,15-24 yrs,01APR2018:11:21:17,27268,"1,805,212",,
2015,CA,Santa Cruz,15-24 yrs,01APR2018:11:21:17,5891,"280,225",,
2015,CA,Shasta,15-24 yrs,01APR2018:11:21:17,4220,"184,231",,
2015,CA,Sierra,15-24 yrs,01APR2018:11:21:17,26,"2,910",,
2015,CA,Siskiyou,15-24 yrs,01APR2018:11:21:17,845,"46,055",,
2015,CA,Solano,15-24 yrs,01APR2018:11:21:17,8728,"412,119",,
2015,CA,Sonoma,15-24 yrs,01APR2018:11:21:17,9292,"484,213",,
2015,CA,Stanislaus,15-24 yrs,01APR2018:11:21:17,14367,"518,345",,
2015,CA,Sutter,15-24 yrs,01APR2018:11:21:17,2272,"93,812",,
2015,CA,Tehama,15-24 yrs,01APR2018:11:21:17,1357,"54,639",,
2015,CA,Trinity,15-24 yrs,01APR2018:11:21:17,230,"13,701",,
2015,CA,Tulare,15-24 yrs,01APR2018:11:21:17,10093,"438,352",,
2015,CA,Tuolumne,15-24 yrs,01APR2018:11:21:17,1247,"54,242",,
2015,CA,Ventura,15-24 yrs,01APR2018:11:21:17,15955,"827,963",,
2015,CA,Yolo,15-24 yrs,01APR2018:11:21:17,4423,"202,753",,
2015,CA,Yuba,15-24 yrs,01APR2018:11:21:17,1840,"71,319",,
2015,CA,Alameda,25-44 yrs,01APR2018:11:21:17,83897,"1,515,717",,
2015,CA,Alpine,25-44 yrs,01APR2018:11:21:17,27,"1,115",,
2015,CA,Amador,25-44 yrs,01APR2018:11:21:17,2233,"38,211",,
2015,CA,Butte,25-44 yrs,01APR2018:11:21:17,17882,"220,287",,
2015,CA,Calaveras,25-44 yrs,01APR2018:11:21:17,2885,"45,570",,
2015,CA,Colusa,25-44 yrs,01APR2018:11:21:17,1403,"21,608",,
2015,CA,Contra Costa,25-44 yrs,01APR2018:11:21:17,60648,"1,043,451",,
2015,CA,Del Norte,25-44 yrs,01APR2018:11:21:17,2200,"28,596",,
2015,CA,El Dorado,25-44 yrs,01APR2018:11:21:17,11069,"180,987",,
2015,CA,Fresno,25-44 yrs,01APR2018:11:21:17,60632,"935,100",,
2015,CA,Glenn,25-44 yrs,01APR2018:11:21:17,1912,"28,708",,
2015,CA,Humboldt,25-44 yrs,01APR2018:11:21:17,10388,"134,681",,
2015,CA,Imperial,25-44 yrs,01APR2018:11:21:17,9370,"170,552",,
2015,CA,Inyo,25-44 yrs,01APR2018:11:21:17,902,"19,497",,
2015,CA,Kern,25-44 yrs,01APR2018:11:21:17,57886,"841,588",,
2015,CA,Kings,25-44 yrs,01APR2018:11:21:17,9249,"151,702",,
2015,CA,Lake,25-44 yrs,01APR2018:11:21:17,5724,"64,599",,
2015,CA,Lassen,25-44 yrs,01APR2018:11:21:17,2217,"37,144",,
2015,CA,Los Angeles,25-44 yrs,01APR2018:11:21:17,444985,"9,811,939",,
2015,CA,Madera,25-44 yrs,01APR2018:11:21:17,9098,"150,446",,
2015,CA,Marin,25-44 yrs,01APR2018:11:21:17,9898,"251,685",,
2015,CA,Mariposa,25-44 yrs,01APR2018:11:21:17,898,"16,900",,
2015,CA,Mendocino,25-44 yrs,01APR2018:11:21:17,7119,"87,595",,
2015,CA,Merced,25-44 yrs,01APR2018:11:21:17,18278,"254,483",,
2015,CA,Modoc,25-44 yrs,01APR2018:11:21:17,376,"8,506",,
2015,CA,Mono,25-44 yrs,01APR2018:11:21:17,857,"12,975",,
2015,CA,Monterey,25-44 yrs,01APR2018:11:21:17,22109,"402,842",,
2015,CA,Napa,25-44 yrs,01APR2018:11:21:17,7492,"137,050",,
2015,CA,Nevada,25-44 yrs,01APR2018:11:21:17,5238,"95,997",,
2015,CA,Orange,25-44 yrs,01APR2018:11:21:17,144182,"3,016,237",,
2015,CA,Placer,25-44 yrs,01APR2018:11:21:17,20556,"351,384",,
2015,CA,Plumas,25-44 yrs,01APR2018:11:21:17,1006,"18,613",,
2015,CA,Riverside,25-44 yrs,01APR2018:11:21:17,130031,"2,191,564",,
2015,CA,Sacramento,25-44 yrs,01APR2018:11:21:17,102044,"1,420,705",,
2015,CA,San Benito,25-44 yrs,01APR2018:11:21:17,3564,"53,857",,
2015,CA,San Bernardino,25-44 yrs,01APR2018:11:21:17,129472,"2,032,042",,
2015,CA,San Diego,25-44 yrs,01APR2018:11:21:17,169588,"3,091,958",,
2015,CA,San Francisco,25-44 yrs,01APR2018:11:21:17,44329,"805,232",,
2015,CA,San Joaquin,25-44 yrs,01APR2018:11:21:17,49463,"684,518",,
2015,CA,San Luis Obispo,25-44 yrs,01APR2018:11:21:17,14248,"269,227",,
