xYear,State,County,Zip,Pph_Frq,rundatetime,Count_Opioid_Pph,Count_Schedule2_Pph,Population
2015,CA,Los Angeles,90001,1-7 Rx/Yr.,01APR2018:11:21:17,5,7,"57,110"
2015,CA,Los Angeles,90002,1-7 Rx/Yr.,01APR2018:11:21:17,7,9,"51,223"
2015,CA,Los Angeles,90003,1-7 Rx/Yr.,01APR2018:11:21:17,6,8,"66,266"
2015,CA,Los Angeles,90004,1-7 Rx/Yr.,01APR2018:11:21:17,26,25,"62,180"
2015,CA,Los Angeles,90005,1-7 Rx/Yr.,01APR2018:11:21:17,12,9,"37,681"
2015,CA,Los Angeles,90006,1-7 Rx/Yr.,01APR2018:11:21:17,41,32,"59,185"
2015,CA,Los Angeles,90007,1-7 Rx/Yr.,01APR2018:11:21:17,16,18,"40,920"
2015,CA,Los Angeles,90008,1-7 Rx/Yr.,01APR2018:11:21:17,14,10,"32,327"
2015,CA,Los Angeles,90009,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90010,1-7 Rx/Yr.,01APR2018:11:21:17,23,26,"3,800"
2015,CA,Los Angeles,90011,1-7 Rx/Yr.,01APR2018:11:21:17,15,14,"103,892"
2015,CA,Los Angeles,90012,1-7 Rx/Yr.,01APR2018:11:21:17,37,38,"31,103"
2015,CA,Los Angeles,90013,1-7 Rx/Yr.,01APR2018:11:21:17,16,17,"11,772"
2015,CA,Los Angeles,90014,1-7 Rx/Yr.,01APR2018:11:21:17,5,5,"7,005"
2015,CA,Los Angeles,90015,1-7 Rx/Yr.,01APR2018:11:21:17,52,56,"18,986"
2015,CA,Los Angeles,90016,1-7 Rx/Yr.,01APR2018:11:21:17,5,6,"47,596"
2015,CA,Los Angeles,90017,1-7 Rx/Yr.,01APR2018:11:21:17,63,63,"23,768"
2015,CA,Los Angeles,90018,1-7 Rx/Yr.,01APR2018:11:21:17,3,3,"49,310"
2015,CA,Los Angeles,90019,1-7 Rx/Yr.,01APR2018:11:21:17,15,20,"64,458"
2015,CA,Los Angeles,90020,1-7 Rx/Yr.,01APR2018:11:21:17,30,27,"38,967"
2015,CA,Los Angeles,90021,1-7 Rx/Yr.,01APR2018:11:21:17,6,7,"3,951"
2015,CA,Los Angeles,90022,1-7 Rx/Yr.,01APR2018:11:21:17,37,38,"67,179"
2015,CA,Los Angeles,90023,1-7 Rx/Yr.,01APR2018:11:21:17,11,18,"45,903"
2015,CA,Los Angeles,90024,1-7 Rx/Yr.,01APR2018:11:21:17,77,63,"47,452"
2015,CA,Los Angeles,90025,1-7 Rx/Yr.,01APR2018:11:21:17,113,94,"42,147"
2015,CA,Los Angeles,90026,1-7 Rx/Yr.,01APR2018:11:21:17,27,30,"67,869"
2015,CA,Los Angeles,90027,1-7 Rx/Yr.,01APR2018:11:21:17,434,330,"45,151"
2015,CA,Los Angeles,90028,1-7 Rx/Yr.,01APR2018:11:21:17,15,19,"28,714"
2015,CA,Los Angeles,90029,1-7 Rx/Yr.,01APR2018:11:21:17,25,25,"38,617"
2015,CA,Los Angeles,90030,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90031,1-7 Rx/Yr.,01APR2018:11:21:17,4,3,"39,316"
2015,CA,Los Angeles,90032,1-7 Rx/Yr.,01APR2018:11:21:17,8,7,"45,786"
2015,CA,Los Angeles,90033,1-7 Rx/Yr.,01APR2018:11:21:17,437,417,"48,852"
2015,CA,Los Angeles,90034,1-7 Rx/Yr.,01APR2018:11:21:17,78,52,"57,964"
2015,CA,Los Angeles,90035,1-7 Rx/Yr.,01APR2018:11:21:17,35,22,"28,418"
2015,CA,Los Angeles,90036,1-7 Rx/Yr.,01APR2018:11:21:17,35,32,"36,865"
2015,CA,Los Angeles,90037,1-7 Rx/Yr.,01APR2018:11:21:17,25,23,"62,276"
2015,CA,Los Angeles,90038,1-7 Rx/Yr.,01APR2018:11:21:17,7,6,"28,917"
2015,CA,Los Angeles,90039,1-7 Rx/Yr.,01APR2018:11:21:17,17,8,"28,514"
2015,CA,Los Angeles,90040,1-7 Rx/Yr.,01APR2018:11:21:17,6,11,"12,520"
2015,CA,Los Angeles,90041,1-7 Rx/Yr.,01APR2018:11:21:17,26,21,"27,425"
2015,CA,Los Angeles,90042,1-7 Rx/Yr.,01APR2018:11:21:17,21,20,"62,430"
2015,CA,Los Angeles,90043,1-7 Rx/Yr.,01APR2018:11:21:17,9,5,"44,789"
2015,CA,Los Angeles,90044,1-7 Rx/Yr.,01APR2018:11:21:17,7,8,"89,779"
2015,CA,Los Angeles,90045,1-7 Rx/Yr.,01APR2018:11:21:17,44,44,"39,480"
2015,CA,Los Angeles,90046,1-7 Rx/Yr.,01APR2018:11:21:17,24,23,"48,581"
2015,CA,Los Angeles,90047,1-7 Rx/Yr.,01APR2018:11:21:17,5,4,"48,606"
2015,CA,Los Angeles,90048,1-7 Rx/Yr.,01APR2018:11:21:17,273,250,"21,397"
2015,CA,Los Angeles,90049,1-7 Rx/Yr.,01APR2018:11:21:17,58,44,"35,482"
2015,CA,Los Angeles,90050,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90051,1-7 Rx/Yr.,06MAY2016:00:46:51,1,1,
2015,CA,Los Angeles,90052,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90053,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90054,1-7 Rx/Yr.,06MAY2016:00:46:51,2,0,
2015,CA,Los Angeles,90055,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90056,1-7 Rx/Yr.,01APR2018:11:21:17,10,8,"7,827"
2015,CA,Los Angeles,90057,1-7 Rx/Yr.,01APR2018:11:21:17,61,57,"44,998"
2015,CA,Los Angeles,90058,1-7 Rx/Yr.,01APR2018:11:21:17,4,4,"3,223"
2015,CA,Los Angeles,90059,1-7 Rx/Yr.,01APR2018:11:21:17,34,32,"40,952"
2015,CA,Los Angeles,90060,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90061,1-7 Rx/Yr.,01APR2018:11:21:17,1,2,"26,872"
2015,CA,Los Angeles,90062,1-7 Rx/Yr.,01APR2018:11:21:17,3,2,"32,821"
2015,CA,Los Angeles,90063,1-7 Rx/Yr.,01APR2018:11:21:17,6,9,"55,758"
2015,CA,Los Angeles,90064,1-7 Rx/Yr.,01APR2018:11:21:17,49,37,"25,403"
2015,CA,Los Angeles,90065,1-7 Rx/Yr.,01APR2018:11:21:17,11,8,"45,527"
2015,CA,Los Angeles,90066,1-7 Rx/Yr.,01APR2018:11:21:17,22,19,"55,277"
2015,CA,Los Angeles,90067,1-7 Rx/Yr.,01APR2018:11:21:17,32,30,"2,424"
2015,CA,Los Angeles,90068,1-7 Rx/Yr.,01APR2018:11:21:17,3,3,"22,286"
2015,CA,Los Angeles,90069,1-7 Rx/Yr.,01APR2018:11:21:17,28,21,"20,483"
2015,CA,Los Angeles,90070,1-7 Rx/Yr.,06MAY2016:00:46:51,0,2,
2015,CA,Los Angeles,90071,1-7 Rx/Yr.,01APR2018:11:21:17,3,4,15
2015,CA,Los Angeles,90072,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90073,1-7 Rx/Yr.,01APR2018:11:21:17,37,25,539
2015,CA,Los Angeles,90074,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90075,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90076,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90077,1-7 Rx/Yr.,01APR2018:11:21:17,13,6,"9,377"
2015,CA,Los Angeles,90078,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90079,1-7 Rx/Yr.,01APR2018:11:21:17,1,1,0
2015,CA,Los Angeles,90080,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90081,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90082,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90083,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90084,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90086,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90087,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90088,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90089,1-7 Rx/Yr.,01APR2018:11:21:17,35,25,"3,217"
2015,CA,Los Angeles,90090,1-7 Rx/Yr.,01APR2018:11:21:17,0,0,0
2015,CA,Los Angeles,90091,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90093,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90094,1-7 Rx/Yr.,01APR2018:11:21:17,2,2,"5,464"
2015,CA,Los Angeles,90095,1-7 Rx/Yr.,01APR2018:11:21:17,508,446,3
2015,CA,Los Angeles,90096,1-7 Rx/Yr.,06MAY2016:00:46:51,1,1,
2015,CA,Los Angeles,90099,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90101,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90189,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90201,1-7 Rx/Yr.,01APR2018:11:21:17,24,34,"101,279"
2015,CA,Los Angeles,90202,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90209,1-7 Rx/Yr.,06MAY2016:00:46:51,1,0,
2015,CA,Los Angeles,90210,1-7 Rx/Yr.,01APR2018:11:21:17,131,121,"21,741"
2015,CA,Los Angeles,90211,1-7 Rx/Yr.,01APR2018:11:21:17,116,116,"8,434"
2015,CA,Los Angeles,90212,1-7 Rx/Yr.,01APR2018:11:21:17,70,49,"11,555"
2015,CA,Los Angeles,90213,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90220,1-7 Rx/Yr.,01APR2018:11:21:17,4,6,"49,328"
2015,CA,Los Angeles,90221,1-7 Rx/Yr.,01APR2018:11:21:17,6,10,"53,704"
2015,CA,Los Angeles,90222,1-7 Rx/Yr.,01APR2018:11:21:17,2,1,"31,869"
2015,CA,Los Angeles,90223,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90224,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90230,1-7 Rx/Yr.,01APR2018:11:21:17,31,24,"31,766"
2015,CA,Los Angeles,90231,1-7 Rx/Yr.,06MAY2016:00:46:51,0,1,
2015,CA,Los Angeles,90232,1-7 Rx/Yr.,01APR2018:11:21:17,34,32,"15,149"
2015,CA,Los Angeles,90233,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90239,1-7 Rx/Yr.,06MAY2016:00:46:51,1,2,
2015,CA,Los Angeles,90240,1-7 Rx/Yr.,01APR2018:11:21:17,31,41,"25,876"
2015,CA,Los Angeles,90241,1-7 Rx/Yr.,01APR2018:11:21:17,57,54,"42,399"
2015,CA,Los Angeles,90242,1-7 Rx/Yr.,01APR2018:11:21:17,95,115,"43,497"
2015,CA,Los Angeles,90245,1-7 Rx/Yr.,01APR2018:11:21:17,17,20,"16,654"
2015,CA,Los Angeles,90247,1-7 Rx/Yr.,01APR2018:11:21:17,21,18,"47,487"
2015,CA,Los Angeles,90248,1-7 Rx/Yr.,01APR2018:11:21:17,10,18,"9,947"
2015,CA,Los Angeles,90249,1-7 Rx/Yr.,01APR2018:11:21:17,10,8,"26,669"
2015,CA,Los Angeles,90250,1-7 Rx/Yr.,01APR2018:11:21:17,49,45,"93,193"
2015,CA,Los Angeles,90251,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90254,1-7 Rx/Yr.,01APR2018:11:21:17,13,17,"19,506"
2015,CA,Los Angeles,90255,1-7 Rx/Yr.,01APR2018:11:21:17,54,65,"75,066"
