xYear,State,County,Zip,Schedule_Group,rundatetime,RxCount,Population
2015,CA,Los Angeles,90001,2,01APR2018:11:21:17,1125,"57,110"
2015,CA,Los Angeles,90002,2,01APR2018:11:21:17,756,"51,223"
2015,CA,Los Angeles,90003,2,01APR2018:11:21:17,2124,"66,266"
2015,CA,Los Angeles,90004,2,01APR2018:11:21:17,4780,"62,180"
2015,CA,Los Angeles,90005,2,01APR2018:11:21:17,435,"37,681"
2015,CA,Los Angeles,90006,2,01APR2018:11:21:17,3917,"59,185"
2015,CA,Los Angeles,90007,2,01APR2018:11:21:17,3853,"40,920"
2015,CA,Los Angeles,90008,2,01APR2018:11:21:17,5169,"32,327"
2015,CA,Los Angeles,90009,2,06MAY2016:01:08:29,34,
2015,CA,Los Angeles,90010,2,01APR2018:11:21:17,5173,"3,800"
2015,CA,Los Angeles,90011,2,01APR2018:11:21:17,3075,"103,892"
2015,CA,Los Angeles,90012,2,01APR2018:11:21:17,5983,"31,103"
2015,CA,Los Angeles,90013,2,01APR2018:11:21:17,1516,"11,772"
2015,CA,Los Angeles,90014,2,01APR2018:11:21:17,716,"7,005"
2015,CA,Los Angeles,90015,2,01APR2018:11:21:17,19816,"18,986"
2015,CA,Los Angeles,90016,2,01APR2018:11:21:17,1206,"47,596"
2015,CA,Los Angeles,90017,2,01APR2018:11:21:17,22108,"23,768"
2015,CA,Los Angeles,90018,2,01APR2018:11:21:17,153,"49,310"
2015,CA,Los Angeles,90019,2,01APR2018:11:21:17,2899,"64,458"
2015,CA,Los Angeles,90020,2,01APR2018:11:21:17,9152,"38,967"
2015,CA,Los Angeles,90021,2,01APR2018:11:21:17,950,"3,951"
2015,CA,Los Angeles,90022,2,01APR2018:11:21:17,11323,"67,179"
2015,CA,Los Angeles,90023,2,01APR2018:11:21:17,7552,"45,903"
2015,CA,Los Angeles,90024,2,01APR2018:11:21:17,38742,"47,452"
2015,CA,Los Angeles,90025,2,01APR2018:11:21:17,47309,"42,147"
2015,CA,Los Angeles,90026,2,01APR2018:11:21:17,10330,"67,869"
2015,CA,Los Angeles,90027,2,01APR2018:11:21:17,73553,"45,151"
2015,CA,Los Angeles,90028,2,01APR2018:11:21:17,6705,"28,714"
2015,CA,Los Angeles,90029,2,01APR2018:11:21:17,3801,"38,617"
2015,CA,Los Angeles,90030,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90031,2,01APR2018:11:21:17,277,"39,316"
2015,CA,Los Angeles,90032,2,01APR2018:11:21:17,1384,"45,786"
2015,CA,Los Angeles,90033,2,01APR2018:11:21:17,100393,"48,852"
2015,CA,Los Angeles,90034,2,01APR2018:11:21:17,38562,"57,964"
2015,CA,Los Angeles,90035,2,01APR2018:11:21:17,10462,"28,418"
2015,CA,Los Angeles,90036,2,01APR2018:11:21:17,28663,"36,865"
2015,CA,Los Angeles,90037,2,01APR2018:11:21:17,3758,"62,276"
2015,CA,Los Angeles,90038,2,01APR2018:11:21:17,1705,"28,917"
2015,CA,Los Angeles,90039,2,01APR2018:11:21:17,2072,"28,514"
2015,CA,Los Angeles,90040,2,01APR2018:11:21:17,1959,"12,520"
2015,CA,Los Angeles,90041,2,01APR2018:11:21:17,2759,"27,425"
2015,CA,Los Angeles,90042,2,01APR2018:11:21:17,5508,"62,430"
2015,CA,Los Angeles,90043,2,01APR2018:11:21:17,4416,"44,789"
2015,CA,Los Angeles,90044,2,01APR2018:11:21:17,1626,"89,779"
2015,CA,Los Angeles,90045,2,01APR2018:11:21:17,34709,"39,480"
2015,CA,Los Angeles,90046,2,01APR2018:11:21:17,23091,"48,581"
2015,CA,Los Angeles,90047,2,01APR2018:11:21:17,3552,"48,606"
2015,CA,Los Angeles,90048,2,01APR2018:11:21:17,110617,"21,397"
2015,CA,Los Angeles,90049,2,01APR2018:11:21:17,21081,"35,482"
2015,CA,Los Angeles,90050,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90051,2,06MAY2016:01:08:29,4,
2015,CA,Los Angeles,90052,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90053,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90054,2,06MAY2016:01:08:29,467,
2015,CA,Los Angeles,90055,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90056,2,01APR2018:11:21:17,5649,"7,827"
2015,CA,Los Angeles,90057,2,01APR2018:11:21:17,13469,"44,998"
2015,CA,Los Angeles,90058,2,01APR2018:11:21:17,169,"3,223"
2015,CA,Los Angeles,90059,2,01APR2018:11:21:17,5570,"40,952"
2015,CA,Los Angeles,90060,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90061,2,01APR2018:11:21:17,748,"26,872"
2015,CA,Los Angeles,90062,2,01APR2018:11:21:17,1693,"32,821"
