OSHPD_ID,FAC_NAME,City,Zip,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,OP_RM_IP_ONLY,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_TOTL,AMB_SURG_PROG,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_<5LBS_8OZ,BIRTHS_LIVE_<3LBS_5OZ,ABC_OP_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,CARDIAC_CATH_DX_PROC,MYOCARDIAL_BIOPSY,PACEMKR_PERM_IMPL,OTH_PERM_PACEMAKER_PROC,ICD_IMPLANTATION,OTH_ICD_PROCEDURES,PCI_WITH_STENT,PCI_WITHOUT_STENT,ATHERECTOMY_PTCRA,THROMBO_AGT,PTBV,DX_EP_STUDY,CATHETER_ABLATION,PERIPHERAL_VASCULAR_ANGIOGRAPHY,PERIPHERAL_VASCULAR_INTERVENTIONAL,CAROTID_STENTING,INTRA_AORTIC_BALLOON_PUMP_INS,CATHETER_BASED_VENTRICULAR_INS,OTHR_CATH_PROC,CATH_TOTL
106010735,ALAMEDA HOSPITAL,ALAMEDA,94501,635,81773,1560,81747,0,1,5,6,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,BERKELEY,94705,2675,346070,4621,361350,0,0,12,12,Yes,5863,422,111,No,,,0,1439,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,OAKLAND,94609,3306,437940,5445,345780,0,2,10,12,No,0,0,0,No,,,0,0,CV SURG,1,82,37,3,0,85,37,0,1,42,68,5,4,0,0,3,0,50,72,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,122
106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,OAKLAND,94609,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106010811,FAIRMONT HOSPITAL,SAN LEANDRO,94578,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,BERKELEY,94704,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106010846,HIGHLAND HOSPITAL,OAKLAND,94602,2800,453183,2625,328658,0,0,7,7,Yes,1341,68,1,No,,,0,283,CATH LAB,0,0,0,0,0,0,0,0,3,0,0,0,0,83,142,74,0,157,142,186,1,0,0,0,0,150,16,0,0,0,0,0,6,0,0,16,0,5,380
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,SAN LEANDRO,94577,313,23003,0,0,2,0,0,2,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106010937,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,94609,3206,582709,2869,291599,0,0,12,12,Yes,0,0,0,No,,,0,0,CV SURG,2,0,0,345,0,345,0,138,5,0,0,0,0,549,980,557,445,1106,1425,1417,0,124,172,60,106,630,37,63,0,4,225,185,87,78,6,12,8,212,3426
106010967,ST. ROSE HOSPITAL,HAYWARD,94545,1254,158978,580,44858,0,0,4,4,Yes,717,28,2,No,,,0,189,CATH LAB,0,0,0,0,0,0,0,0,1,0,0,0,0,158,314,196,22,354,336,606,0,23,8,16,5,189,0,0,0,0,0,0,34,14,0,15,0,74,984
106010983,VALLEY MEMORIAL HOSPITAL,LIVERMORE,94550,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106010987,WASHINGTON HOSPITAL - FREMONT,FREMONT,94538,3436,465023,1071,91490,1,0,6,7,No,1846,115,8,Yes,YES,YES,1240,606,CV SURG,6,0,0,117,0,117,0,102,3,0,0,0,0,660,0,735,0,1395,0,886,0,51,46,19,19,287,57,3,0,0,3,0,389,672,11,14,0,1884,4341
106013619,SAN LEANDRO HOSPITAL,SAN LEANDRO,94578,1151,106528,804,65603,0,0,5,5,Yes,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106013626,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,OAKLAND,94609,0,0,0,0,0,7,0,7,Yes,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
